date,day_close_rate,code,name,voucher_usage_rate,utilization_usage_rate,voucher_utilization_ratio,after_market_p,score,trust_cost,trust_ratio,trust_bs,self_cost,self_ratio,self_bs,foreign_cost,foreign_ratio,foreign_bs,external_disk,inner_disk,tail_volume,volume,close,low,high,open
20000104,,2883,開發金,,,0.31,,,,,,,,,,,,,,,86212.0,53.5,51.0,53.5,52.0
20000105,,2883,開發金,,,0.47,,,,,,,,,,,,,,,106414.0,56.0,53.5,56.5,53.5
20000106,,2883,開發金,,,0.54,,,,,,,,,,,,,,,92245.0,55.5,55.0,57.0,57.0
20000107,,2883,開發金,,,0.45,,,,,,,,,,,,,,,71881.0,55.0,54.5,57.0,56.0
20000110,,2883,開發金,,,0.46,,,,,,,,,,,,,,,72690.0,58.0,57.0,58.5,58.5
20000111,,2883,開發金,,,0.46,,,,,,,,,,,,,,,76754.0,55.5,55.0,60.0,59.5
20000112,,2883,開發金,,,0.49,,,,,,,,,,,,,,,38226.0,56.5,55.5,57.0,56.0
20000113,,2883,開發金,,,0.53,,,,,,,,,,,,,,,53844.0,56.0,55.5,58.0,56.5
20000114,,2883,開發金,,,0.43,,,,,,,,,,,,,,,33823.0,54.5,54.5,57.0,57.0
20000115,,2883,開發金,,,0.39,,,,,,,,,,,,,,,27262.0,55.0,54.5,56.0,55.0
20000117,,2883,開發金,,,0.37,,,,,,,,,,,,,,,29946.0,55.5,55.5,56.5,56.0
20000118,,2883,開發金,,,0.45,,,,,,,,,,,,,,,29851.0,56.0,55.0,56.0,56.0
20000119,,2883,開發金,,,0.47,,,,,,,,,,,,,,,29712.0,55.5,55.5,57.0,56.5
20000120,,2883,開發金,,,0.42,,,,,,,,,,,,,,,22210.0,55.0,55.0,56.0,55.5
20000121,,2883,開發金,,,0.37,,,,,,,,,,,,,,,57652.0,57.0,55.5,57.0,55.5
20000124,,2883,開發金,,,0.45,,,,,,,,,,,,,,,58202.0,57.5,56.5,58.0,57.0
20000125,,2883,開發金,,,0.33,,,,,,,,,,,,,,,23544.0,56.0,56.0,57.5,57.5
20000126,,2883,開發金,,,0.34,,,,,,,,,,,,,,,35766.0,56.5,56.5,57.5,56.5
20000127,,2883,開發金,,,0.41,,,,,,,,,,,,,,,50026.0,56.5,56.5,58.0,57.0
20000128,,2883,開發金,,,0.27,,,,,,,,,,,,,,,91100.0,58.5,57.0,59.5,57.0
20000129,,2883,開發金,,,0.17,,,,,,,,,,,,,,,31747.0,57.5,57.0,58.5,58.5
20000131,,2883,開發金,,,0.19,,,,,,,,,,,,,,,26496.0,57.5,57.0,58.0,58.0
20000201,,2883,開發金,,,0.21,,,,,,,,,,,,,,,60428.0,59.0,58.0,59.5,58.0
20000209,,2883,開發金,,,0.22,,,,,,,,,,,,,,,68051.0,60.0,59.0,61.0,61.0
20000210,,2883,開發金,,,0.27,,,,,,,,,,,,,,,62629.0,59.5,59.5,61.5,60.0
20000211,,2883,開發金,,,0.22,,,,,,,,,,,,,,,43587.0,58.5,58.5,60.5,60.0
20000214,,2883,開發金,,,0.17,,,,,,,,,,,,,,,40809.0,57.5,57.5,59.0,58.5
20000215,,2883,開發金,,,0.16,,,,,,,,,,,,,,,26251.0,57.5,56.0,57.5,57.0
20000216,,2883,開發金,,,0.14,,,,,,,,,,,,,,,26946.0,56.5,56.5,58.0,57.5
20000217,,2883,開發金,,,0.16,,,,,,,,,,,,,,,32583.0,57.5,56.5,58.0,56.5
20000218,,2883,開發金,,,0.15,,,,,,,,,,,,,,,32074.0,56.5,56.5,58.0,58.0
20000219,,2883,開發金,,,0.13,,,,,,,,,,,,,,,22722.0,56.0,56.0,57.0,56.5
20000221,,2883,開發金,,,0.19,,,,,,,,,,,,,,,41729.0,56.0,56.0,57.5,56.0
20000222,,2883,開發金,,,0.13,,,,,,,,,,,,,,,29319.0,54.0,53.5,56.5,56.0
20000223,,2883,開發金,,,0.12,,,,,,,,,,,,,,,21928.0,53.0,53.0,55.0,54.0
20000224,,2883,開發金,,,0.14,,,,,,,,,,,,,,,24389.0,52.5,52.0,54.0,53.5
20000225,,2883,開發金,,,0.1,,,,,,,,,,,,,,,27982.0,51.5,51.0,52.5,52.0
20000229,,2883,開發金,,,0.16,,,,,,,,,,,,,,,18263.0,52.0,51.5,53.0,52.5
20000301,,2883,開發金,,,0.15,,,,,,,,,,,,,,,22638.0,54.0,52.0,54.0,52.5
20000302,,2883,開發金,,,0.15,,,,,,,,,,,,,,,13366.0,52.0,52.0,54.0,54.0
20000303,,2883,開發金,,,0.16,,,,,,,,,,,,,,,10386.0,52.5,52.0,53.0,52.0
20000304,,2883,開發金,,,0.15,,,,,,,,,,,,,,,10838.0,51.5,51.5,53.0,53.0
20000306,,2883,開發金,,,0.15,,,,,,,,,,,,,,,13323.0,51.0,51.0,52.0,51.5
20000307,,2883,開發金,,,0.16,,,,,,,,,,,,,,,15978.0,51.0,51.0,52.0,51.0
20000308,,2883,開發金,,,0.19,,,,,,,,,,,,,,,12240.0,51.0,51.0,52.0,51.5
20000309,,2883,開發金,,,0.16,,,,,,,,,,,,,,,15095.0,52.0,51.5,52.0,51.5
20000310,,2883,開發金,,,0.33,,,,,,,,,,,,,,,87567.0,54.5,52.5,54.5,52.5
20000313,,2883,開發金,,,0.29,,,,,,,,,,,,,,,79052.0,51.0,51.0,54.5,54.5
20000314,,2883,開發金,,,0.38,,,,,,,,,,,,,,,52927.0,52.5,51.0,53.0,52.0
20000315,,2883,開發金,,,0.45,,,,,,,,,,,,,,,48031.0,51.5,51.5,54.0,52.5
20000316,,2883,開發金,,,0.45,,,,,,,,,,,,,,,58522.0,51.5,48.0,52.0,50.0
20000317,,2883,開發金,,,0.55,,,,,,,,,,,,,,,65936.0,49.8,49.8,52.0,51.5
20000320,,2883,開發金,,,0.53,,,,,,,,,,,,,,,1002.0,48.1,48.1,48.1,48.1
20000321,,2883,開發金,,,0.41,,,,,,,,,,,,,,,142072.0,47.8,46.5,48.6,46.5
20000322,,2883,開發金,,,0.3,,,,,,,,,,,,,,,41989.0,46.2,46.2,47.1,46.2
20000323,,2883,開發金,,,0.62,,,,,,,,,,,,,,,151142.0,49.4,44.6,49.4,44.6
20000324,,2883,開發金,,,0.74,,,,,,,,,,,,,,,96049.0,50.0,49.0,50.5,50.5
20000327,,2883,開發金,,,0.47,,,,,,,,,,,,,,,71282.0,49.4,48.0,51.0,50.0
20000328,,2883,開發金,,,0.39,,,,,,,,,,,,,,,49281.0,49.5,49.5,51.0,50.0
20000329,,2883,開發金,,,0.29,,,,,,,,,,,,,,,28766.0,48.7,48.7,50.5,49.5
20000330,,2883,開發金,,,0.35,,,,,,,,,,,,,,,81538.0,52.0,50.0,52.0,50.0
20000331,,2883,開發金,,,0.16,,,,,,,,,,,,,,,95729.0,52.5,52.0,54.5,52.0
20000401,,2883,開發金,,,0.0,,,,,,,,,,,,,,,49043.0,51.5,50.5,53.0,52.5
20000405,,2883,開發金,,,0.0,,,,,,,,,,,,,,,35377.0,50.0,50.0,52.0,50.5
20000406,,2883,開發金,,,0.0,,,,,,,,,,,,,,,27188.0,50.0,50.0,51.0,50.0
20000407,,2883,開發金,,,0.0,,,,,,,,,,,,,,,23575.0,50.0,50.0,51.0,50.5
20000408,,2883,開發金,,,0.01,,,,,,,,,,,,,,,29733.0,50.0,50.0,51.0,50.5
20000410,,2883,開發金,,,0.1,,,,,,,,,,,,,,,35160.0,50.5,50.0,52.0,50.0
20000411,,2883,開發金,,,0.14,,,,,,,,,,,,,,,106309.0,54.0,51.0,54.0,51.0
20000412,,2883,開發金,,,0.11,,,,,,,,,,,,,,,84096.0,52.0,51.5,55.0,54.0
20000413,,2883,開發金,,,0.05,,,,,,,,,,,,,,,30994.0,51.0,51.0,52.5,52.0
20000414,,2883,開發金,,,0.14,,,,,,,,,,,,,,,30484.0,50.0,50.0,52.0,51.0
20000415,,2883,開發金,,,0.14,,,,,,,,,,,,,,,41949.0,48.2,48.0,49.0,48.0
20000417,,2883,開發金,,,0.17,,,,,,,,,,,,,,,26902.0,50.0,48.2,50.5,48.2
20000418,,2883,開發金,,,0.13,,,,,,,,,,,,,,,26128.0,50.5,50.0,51.5,51.0
20000419,,2883,開發金,,,0.12,,,,,,,,,,,,,,,22782.0,49.5,49.5,51.0,51.0
20000420,,2883,開發金,,,0.21,,,,,,,,,,,,,,,19147.0,49.5,49.3,50.5,49.3
20000421,,2883,開發金,,,0.19,,,,,,,,,,,,,,,11796.0,49.3,49.3,50.5,50.0
20000424,,2883,開發金,,,0.17,,,,,,,,,,,,,,,16478.0,48.0,48.0,49.5,49.5
20000425,,2883,開發金,,,0.16,,,,,,,,,,,,,,,13805.0,47.3,47.1,48.4,48.0
20000426,,2883,開發金,,,0.14,,,,,,,,,,,,,,,21043.0,45.0,44.5,48.0,47.5
20000427,,2883,開發金,,,0.27,,,,,,,,,,,,,,,15324.0,45.3,44.9,45.9,45.1
20000428,,2883,開發金,,,0.25,,,,,,,,,,,,,,,18929.0,46.3,44.0,46.4,45.6
20000429,,2883,開發金,,,0.21,,,,,,,,,,,,,,,11721.0,45.5,45.0,46.6,46.0
20000502,,2883,開發金,,,0.2,,,,,,,,,,,,,,,11491.0,44.5,44.5,45.6,45.5
20000503,,2883,開發金,,,0.18,,,,,,,,,,,,,,,13115.0,43.1,43.1,44.5,44.0
