date,day_close_rate,code,name,voucher_usage_rate,utilization_usage_rate,voucher_utilization_ratio,after_market_p,score,trust_cost,trust_ratio,trust_bs,self_cost,self_ratio,self_bs,foreign_cost,foreign_ratio,foreign_bs,external_disk,inner_disk,tail_volume,volume,close,low,high,open
20000104,,2360,致茂,0.3,52.11,0.57,,,,,,,,,,7.06,,,,,4098.0,90.0,90.0,93.0,93.0
20000105,,2360,致茂,0.29,53.55,0.54,,,,,,,,,,7.04,,,,,3119.0,87.5,87.0,90.0,88.5
20000106,,2360,致茂,0.29,54.6,0.53,,,,,,,,,,7.04,,,,,5490.0,89.0,88.0,92.0,88.0
20000107,,2360,致茂,0.31,54.78,0.57,,,,,,,,,,7.28,,,,,3763.0,91.0,89.5,92.0,90.0
20000110,,2360,致茂,0.39,55.79,0.69,,,,,,,,,,7.31,,,,,8004.0,97.0,91.0,97.0,92.5
20000111,,2360,致茂,0.29,53.78,0.55,,,,,,,,,,7.39,,,,,9229.0,93.0,92.5,101.0,100.0
20000112,,2360,致茂,0.38,53.87,0.69,,,,,,,,,,7.39,,,,,4100.0,97.0,92.5,97.5,93.5
20000113,,2360,致茂,0.35,53.67,0.65,,,,,,,,,,7.39,,,,,5105.0,94.5,94.0,99.5,98.0
20000114,,2360,致茂,0.27,51.59,0.52,,,,,,,,,,7.39,,,,,3139.0,92.0,92.0,96.5,95.0
20000115,,2360,致茂,0.32,52.28,0.6,,,,,,,,,,7.39,,,,,2451.0,93.5,92.5,94.5,93.0
20000117,,2360,致茂,0.28,53.38,0.53,,,,,,,,,,7.39,,,,,3297.0,93.5,93.0,97.0,94.5
20000118,,2360,致茂,0.28,52.05,0.55,,,,,,,,,,7.78,,,,,1733.0,95.0,93.0,95.0,94.0
20000119,,2360,致茂,0.34,53.18,0.65,,,,,,,,,,7.78,,,,,3180.0,94.5,94.5,98.0,96.0
20000120,,2360,致茂,0.31,53.05,0.59,,,,,,,,,,7.78,,,,,1326.0,92.5,92.5,95.0,94.5
20000121,,2360,致茂,0.29,51.78,0.57,,,,,,,,,,8.47,,,,,2395.0,94.5,93.5,96.5,93.5
20000124,,2360,致茂,0.46,52.73,0.85,,,,,,,,,,8.43,,,,,12344.0,99.0,96.5,101.0,97.5
20000125,,2360,致茂,0.34,52.26,0.67,,,,,,,,,,8.43,,,,,2911.0,97.5,97.0,98.5,98.5
20000126,,2360,致茂,0.73,54.23,1.35,,,,,,,,,,8.8,,,,,7889.0,97.5,97.5,102.5,99.5
20000127,,2360,致茂,0.32,53.64,0.6,,,,,,,,,,8.8,,,,,2647.0,95.5,95.0,99.0,99.0
20000128,,2360,致茂,0.27,50.42,0.51,,,,,,,,,,8.84,,,,,1723.0,95.5,94.5,97.0,95.0
20000129,,2360,致茂,0.27,52.65,0.54,,,,,,,,,,8.84,,,,,1876.0,96.0,94.0,96.5,94.5
20000131,,2360,致茂,0.28,52.45,0.53,,,,,,,,,,8.84,,,,,1162.0,96.5,95.0,96.5,96.0
20000201,,2360,致茂,0.3,52.08,0.58,,,,,,,,,,8.85,,,,,5108.0,99.5,97.5,100.5,97.5
20000209,,2360,致茂,0.41,50.93,0.76,,,,,,,,,,9.24,,,,,8597.0,106.0,100.0,106.0,102.0
20000210,,2360,致茂,0.33,49.1,0.65,,,,,,,,,,9.24,,,,,3526.0,102.0,102.0,106.5,106.0
20000211,,2360,致茂,0.37,49.85,0.73,,,,,,,,,,9.43,,,,,3796.0,104.0,102.5,106.5,104.0
